math score,reading ascore,writing score,placement score,club join year,placement offer count,gender
62,,90,,2018,1,male
,74,87,81,2018,2,male
65,76,61,72,2022,1,male
68,78,,80,2018,2,male
,75,63,,2021,1,male
81,,58,70,2020,1,male
78,78,,81,2019,2,male
84,77,61,76,2019,2,male
,86,71,,2023,1,male
80,87,85,71,2023,1,female
77,,,79,2019,2,male
60,80,67,,2019,1,female
60,73,71,73,2022,1,male
,83,50,77,2018,2,female
63,,85,,2018,1,female
82,82,,81,2023,2,female
60,83,59,75,2018,2,female
82,90,73,73,2022,1,female
,78,63,,2019,1,male
65,83,82,77,2022,2,male
65,83,,70,2018,1,male
63,,58,73,2022,1,male
63,81,65,89,2018,3,male
60,88,56,87,2020,3,female
86,86,67,76,2019,2,male
,88,70,71,2023,1,male
63,87,69,78,2023,2,male
60,,70,85,2018,3,male
61,73,,85,2018,3,female
